from,starting label,QID,label,depth,target
Q55680361,Oskar Reichel,Q105582344,Oskar Reichel,5,1
Q26221176,Two Poplars in the Alpilles near Saint-Rémy,Q27096203,Two Poplars in the Alpilles near Saint-Rémy,2,1
Q657415,Cleveland Museum of Art,Q864380,Cleveland Museum of Art,3,0
Q160236,Metropolitan Museum of Art,Q78793,Metropolitan Museum of Art,2,1
Q74128,Alfred Flechtheim,Q1607826,Alfred Flechtheim,5,0
Q21948567,Sunflowers,Q363383,Sunflowers,5,1
Q26221176,Two Poplars in the Alpilles near Saint-Rémy,Q11822840,Two Poplars in the Alpilles near Saint-Rémy,5,0
Q17277888,Gottlieb Friedrich Reber,Q17275827,Gottlieb Friedrich Reber,4,0
Q26221176,Two Poplars in the Alpilles near Saint-Rémy,Q1792450,Two Poplars in the Alpilles near Saint-Rémy,2,1
Q3783572,Harvard Art Museums,Q7557389,Harvard Art Museums,2,0
Q160236,Metropolitan Museum of Art,Q20078554,Metropolitan Museum of Art,3,0
Q29441758,Margarete Mauthner,Q28035859,Margarete Mauthner,5,1
Q160236,Metropolitan Museum of Art,Q91618,Metropolitan Museum of Art,5,1
Q104530765,Hugo Nathan,Q10288082,Hugo Nathan,2,1
Q17277888,Gottlieb Friedrich Reber,Q49213654,Gottlieb Friedrich Reber,3,0
Q17277888,Gottlieb Friedrich Reber,Q77257348,Gottlieb Friedrich Reber,3,1
Q160236,Metropolitan Museum of Art,Q2871551,Metropolitan Museum of Art,5,0
Q26221184,Olive Picking,Q19180675,Olive Picking,4,0
Q26221184,Olive Picking,Q10732476,Olive Picking,2,1
Q5147536,Josef Feinhals,Q82955,Josef Feinhals,5,0
Q17277888,Gottlieb Friedrich Reber,Q2259451,Gottlieb Friedrich Reber,3,0
Q160236,Metropolitan Museum of Art,Q34417,Metropolitan Museum of Art,4,0
Q55680361,Oskar Reichel,Q49133,Oskar Reichel,2,0
Q160236,Metropolitan Museum of Art,Q69997425,Metropolitan Museum of Art,5,0
Q1634926,Hugo Cassirer,Q5375476,Hugo Cassirer,3,1
Q160236,Metropolitan Museum of Art,Q17378135,Metropolitan Museum of Art,3,0
Q55680361,Oskar Reichel,Q5460604,Oskar Reichel,5,0
Q160236,Metropolitan Museum of Art,Q2894644,Metropolitan Museum of Art,4,1
Q26221176,Two Poplars in the Alpilles near Saint-Rémy,Q4964182,Two Poplars in the Alpilles near Saint-Rémy,5,0
Q74128,Alfred Flechtheim,Q18056753,Alfred Flechtheim,5,1
Q5147536,Josef Feinhals,Q42973,Josef Feinhals,2,0
Q1634926,Hugo Cassirer,Q25391673,Hugo Cassirer,5,1
Q26221176,Two Poplars in the Alpilles near Saint-Rémy,Q205456,Two Poplars in the Alpilles near Saint-Rémy,4,0
Q160236,Metropolitan Museum of Art,Q935182,Metropolitan Museum of Art,4,0
Q11770767,Still life with coffee pot  dishes and fruit,Q49757,Still life with coffee pot  dishes and fruit,2,0
Q1634926,Hugo Cassirer,Q17378135,Hugo Cassirer,5,0
Q160236,Metropolitan Museum of Art,Q20267585,Metropolitan Museum of Art,3,0
Q26221176,Two Poplars in the Alpilles near Saint-Rémy,Q68074438,Two Poplars in the Alpilles near Saint-Rémy,2,0
Q867510,Cypresses,Q5046521,Cypresses,5,1
Q160236,Metropolitan Museum of Art,Q253864,Metropolitan Museum of Art,5,0
Q17277888,Gottlieb Friedrich Reber,Q58366813,Gottlieb Friedrich Reber,5,0
Q160236,Metropolitan Museum of Art,Q1810348,Metropolitan Museum of Art,3,1
Q657415,Cleveland Museum of Art,Q36180,Cleveland Museum of Art,3,0
Q160236,Metropolitan Museum of Art,Q67198,Metropolitan Museum of Art,3,0
Q160236,Metropolitan Museum of Art,Q2830219,Metropolitan Museum of Art,4,0
Q160236,Metropolitan Museum of Art,Q50637,Metropolitan Museum of Art,3,1
Q104530765,Hugo Nathan,Q100708933,Hugo Nathan,5,1
Q160236,Metropolitan Museum of Art,Q334145,Metropolitan Museum of Art,5,0
Q104530765,Hugo Nathan,Q107676574,Hugo Nathan,4,1
Q160236,Metropolitan Museum of Art,Q1792450,Metropolitan Museum of Art,3,1
Q74128,Alfred Flechtheim,Q23559,Alfred Flechtheim,5,1
Q17277888,Gottlieb Friedrich Reber,Q106874309,Gottlieb Friedrich Reber,5,1
Q17277888,Gottlieb Friedrich Reber,Q2546745,Gottlieb Friedrich Reber,4,1
Q1634926,Hugo Cassirer,Q21550489,Hugo Cassirer,5,0
Q214867,National Gallery of Art,Q62274663,National Gallery of Art,3,1
Q55680361,Oskar Reichel,Q72853350,Oskar Reichel,4,1
Q160236,Metropolitan Museum of Art,Q82955,Metropolitan Museum of Art,3,0
Q160236,Metropolitan Museum of Art,Q10732476,Metropolitan Museum of Art,3,1
Q74128,Alfred Flechtheim,Q21526824,Alfred Flechtheim,3,1
Q1634926,Hugo Cassirer,Q173950,Hugo Cassirer,2,1
Q160236,Metropolitan Museum of Art,Q20630408,Metropolitan Museum of Art,5,1
Q17277888,Gottlieb Friedrich Reber,Q50287368,Gottlieb Friedrich Reber,4,0
Q657415,Cleveland Museum of Art,Q98281053,Cleveland Museum of Art,5,0
Q17277888,Gottlieb Friedrich Reber,Q1321055,Gottlieb Friedrich Reber,4,1
Q867510,Cypresses,Q27096203,Cypresses,4,1
Q26221176,Two Poplars in the Alpilles near Saint-Rémy,Q42882613,Two Poplars in the Alpilles near Saint-Rémy,2,1
Q11770767,Still life with coffee pot  dishes and fruit,Q17378135,Still life with coffee pot  dishes and fruit,2,0
Q160236,Metropolitan Museum of Art,Q78060740,Metropolitan Museum of Art,3,1
Q657415,Cleveland Museum of Art,Q302556,Cleveland Museum of Art,3,0
Q160236,Metropolitan Museum of Art,Q75474000,Metropolitan Museum of Art,5,0
Q156426,Alexej von Jawlensky,Q15296811,Alexej von Jawlensky,1,0
Q867510,Cypresses,Q1798475,Cypresses,5,1
Q17277888,Gottlieb Friedrich Reber,Q54149726,Gottlieb Friedrich Reber,5,0
Q160236,Metropolitan Museum of Art,Q140686,Metropolitan Museum of Art,5,0
Q29441758,Margarete Mauthner,Q20771242,Margarete Mauthner,5,1
Q26221176,Two Poplars in the Alpilles near Saint-Rémy,Q81096,Two Poplars in the Alpilles near Saint-Rémy,3,0
Q867510,Cypresses,Q49246672,Cypresses,4,1
Q160236,Metropolitan Museum of Art,Q20771242,Metropolitan Museum of Art,3,1
Q160236,Metropolitan Museum of Art,Q1039808,Metropolitan Museum of Art,5,1
Q74128,Alfred Flechtheim,Q21069797,Alfred Flechtheim,5,1
Q160236,Metropolitan Museum of Art,Q7933233,Metropolitan Museum of Art,5,0
Q160236,Metropolitan Museum of Art,Q61294807,Metropolitan Museum of Art,4,0
Q1634926,Hugo Cassirer,Q107177051,Hugo Cassirer,5,1
Q214867,National Gallery of Art,Q28790437,National Gallery of Art,5,0
Q214867,National Gallery of Art,Q16986324,National Gallery of Art,5,1
Q160236,Metropolitan Museum of Art,Q24255440,Metropolitan Museum of Art,5,1
Q17277888,Gottlieb Friedrich Reber,Q20267520,Gottlieb Friedrich Reber,5,0
Q26221176,Two Poplars in the Alpilles near Saint-Rémy,Q7933396,Two Poplars in the Alpilles near Saint-Rémy,2,1
Q74128,Alfred Flechtheim,Q13575004,Alfred Flechtheim,2,1
Q74128,Alfred Flechtheim,Q54149726,Alfred Flechtheim,5,0
Q69860245,Mór Lipót Herzog,Q806798,Mór Lipót Herzog,1,0
Q160236,Metropolitan Museum of Art,Q3108260,Metropolitan Museum of Art,3,1
Q867510,Cypresses,Q3175096,Cypresses,4,1
Q74128,Alfred Flechtheim,Q15305978,Alfred Flechtheim,4,1
Q160236,Metropolitan Museum of Art,Q21479251,Metropolitan Museum of Art,3,1
Q1634926,Hugo Cassirer,Q36180,Hugo Cassirer,3,0
Q1634926,Hugo Cassirer,Q3067376,Hugo Cassirer,5,1
Q867510,Cypresses,Q475667,Cypresses,5,1
Q29441758,Margarete Mauthner,Q36834,Margarete Mauthner,1,0
Q160236,Metropolitan Museum of Art,Q105936481,Metropolitan Museum of Art,5,0
Q74128,Alfred Flechtheim,Q20275618,Alfred Flechtheim,5,1
Q29441758,Margarete Mauthner,Q104694359,Margarete Mauthner,5,0
Q104530765,Hugo Nathan,Q3067376,Hugo Nathan,4,1
Q160236,Metropolitan Museum of Art,Q76099629,Metropolitan Museum of Art,5,0
Q74128,Alfred Flechtheim,Q103505599,Alfred Flechtheim,5,0
Q160236,Metropolitan Museum of Art,Q7044697,Metropolitan Museum of Art,5,1
Q160236,Metropolitan Museum of Art,Q112088,Metropolitan Museum of Art,4,0
Q160236,Metropolitan Museum of Art,Q75385969,Metropolitan Museum of Art,5,0
Q26221201,Two Diggers among Trees,Q33315010,Two Diggers among Trees,5,1
Q74128,Alfred Flechtheim,Q10288073,Alfred Flechtheim,4,1
Q160236,Metropolitan Museum of Art,Q60729883,Metropolitan Museum of Art,4,0
Q160236,Metropolitan Museum of Art,Q428256,Metropolitan Museum of Art,4,0
Q160236,Metropolitan Museum of Art,Q19429021,Metropolitan Museum of Art,5,1
Q160236,Metropolitan Museum of Art,Q22932,Metropolitan Museum of Art,5,0
Q74128,Alfred Flechtheim,Q2142783,Alfred Flechtheim,5,0
Q867510,Cypresses,Q602358,Cypresses,4,0
Q160236,Metropolitan Museum of Art,Q1274863,Metropolitan Museum of Art,5,1
Q160236,Metropolitan Museum of Art,Q319764,Metropolitan Museum of Art,5,0
Q214867,National Gallery of Art,Q405352,National Gallery of Art,3,1
Q29441758,Margarete Mauthner,Q1925963,Margarete Mauthner,5,0
Q160236,Metropolitan Museum of Art,Q170293,Metropolitan Museum of Art,5,0
Q26221176,Two Poplars in the Alpilles near Saint-Rémy,Q593644,Two Poplars in the Alpilles near Saint-Rémy,4,0
Q160236,Metropolitan Museum of Art,Q18662018,Metropolitan Museum of Art,3,1
Q160236,Metropolitan Museum of Art,Q232728,Metropolitan Museum of Art,5,0
Q74128,Alfred Flechtheim,Q43301751,Alfred Flechtheim,4,1
Q867510,Cypresses,Q21069797,Cypresses,4,1
Q29441758,Margarete Mauthner,Q30335959,Margarete Mauthner,5,1
Q160236,Metropolitan Museum of Art,Q19913634,Metropolitan Museum of Art,3,0
Q29441758,Margarete Mauthner,Q104694359,Margarete Mauthner,5,0
Q17277888,Gottlieb Friedrich Reber,Q352,Gottlieb Friedrich Reber,4,1
Q160236,Metropolitan Museum of Art,Q57151860,Metropolitan Museum of Art,5,0
Q160236,Metropolitan Museum of Art,Q15432931,Metropolitan Museum of Art,4,1
Q74128,Alfred Flechtheim,Q75837445,Alfred Flechtheim,5,1
Q160236,Metropolitan Museum of Art,Q27980296,Metropolitan Museum of Art,5,0
Q74128,Alfred Flechtheim,Q131572,Alfred Flechtheim,1,1
Q17277888,Gottlieb Friedrich Reber,Q78060740,Gottlieb Friedrich Reber,4,1
Q26221176,Two Poplars in the Alpilles near Saint-Rémy,Q51955019,Two Poplars in the Alpilles near Saint-Rémy,5,0
Q160236,Metropolitan Museum of Art,Q1423891,Metropolitan Museum of Art,4,0
Q160236,Metropolitan Museum of Art,Q104917373,Metropolitan Museum of Art,5,1
Q160236,Metropolitan Museum of Art,Q40599,Metropolitan Museum of Art,2,1
Q26221176,Two Poplars in the Alpilles near Saint-Rémy,Q73357989,Two Poplars in the Alpilles near Saint-Rémy,2,0
Q1634926,Hugo Cassirer,Q42973,Hugo Cassirer,5,0
Q160236,Metropolitan Museum of Art,Q250867,Metropolitan Museum of Art,3,0
Q55680361,Oskar Reichel,Q21078532,Oskar Reichel,4,1
Q1634926,Hugo Cassirer,Q1622272,Hugo Cassirer,3,0
Q214867,National Gallery of Art,Q467167,National Gallery of Art,5,1
Q160236,Metropolitan Museum of Art,Q4896868,Metropolitan Museum of Art,5,0
Q55680361,Oskar Reichel,Q104820943,Oskar Reichel,4,1
Q104530765,Hugo Nathan,Q250867,Hugo Nathan,5,0
Q214867,National Gallery of Art,Q17355822,National Gallery of Art,5,0
Q104530765,Hugo Nathan,Q329439,Hugo Nathan,5,0
Q29441758,Margarete Mauthner,Q28860082,Margarete Mauthner,4,1
Q4008950,Irises,Q2554450,Irises,1,1
Q160236,Metropolitan Museum of Art,Q75581245,Metropolitan Museum of Art,5,0
Q214867,National Gallery of Art,Q486748,National Gallery of Art,5,0
Q104530765,Hugo Nathan,Q867510,Hugo Nathan,5,1
Q160236,Metropolitan Museum of Art,Q79896273,Metropolitan Museum of Art,3,1
Q160236,Metropolitan Museum of Art,Q75391592,Metropolitan Museum of Art,3,0
Q104530765,Hugo Nathan,Q107750647,Hugo Nathan,5,1
Q214867,National Gallery of Art,Q3243461,National Gallery of Art,3,1
Q21948567,Sunflowers,Q36180,Sunflowers,2,0
Q160236,Metropolitan Museum of Art,Q75329998,Metropolitan Museum of Art,5,0
Q160236,Metropolitan Museum of Art,Q51955019,Metropolitan Museum of Art,3,0
Q214867,National Gallery of Art,Q30335959,National Gallery of Art,3,1
Q160236,Metropolitan Museum of Art,Q26221201,Metropolitan Museum of Art,5,1
Q160236,Metropolitan Museum of Art,Q104520680,Metropolitan Museum of Art,5,1
Q160236,Metropolitan Museum of Art,Q38695,Metropolitan Museum of Art,2,0
Q17277888,Gottlieb Friedrich Reber,Q3243461,Gottlieb Friedrich Reber,2,1
Q214867,National Gallery of Art,Q379406,National Gallery of Art,5,0
Q1634926,Hugo Cassirer,Q50637,Hugo Cassirer,5,1
Q160236,Metropolitan Museum of Art,Q19502360,Metropolitan Museum of Art,4,1
Q26221176,Two Poplars in the Alpilles near Saint-Rémy,Q5488972,Two Poplars in the Alpilles near Saint-Rémy,5,1
Q160236,Metropolitan Museum of Art,Q95569,Metropolitan Museum of Art,4,1
Q74128,Alfred Flechtheim,Q49870534,Alfred Flechtheim,1,1
Q21948567,Sunflowers,Q2185351,Sunflowers,2,0
Q160236,Metropolitan Museum of Art,Q15092984,Metropolitan Museum of Art,5,0
Q156426,Alexej von Jawlensky,Q4091878,Alexej von Jawlensky,5,0
Q160236,Metropolitan Museum of Art,Q17265543,Metropolitan Museum of Art,5,1
Q160236,Metropolitan Museum of Art,Q33231,Metropolitan Museum of Art,3,0
Q214867,National Gallery of Art,Q8030760,National Gallery of Art,5,0
Q160236,Metropolitan Museum of Art,Q170467,Metropolitan Museum of Art,5,0
Q26221176,Two Poplars in the Alpilles near Saint-Rémy,Q49870534,Two Poplars in the Alpilles near Saint-Rémy,2,1
Q74128,Alfred Flechtheim,Q19883783,Alfred Flechtheim,5,1
Q160236,Metropolitan Museum of Art,Q17603041,Metropolitan Museum of Art,3,0
Q17277888,Gottlieb Friedrich Reber,Q363383,Gottlieb Friedrich Reber,5,1
Q160236,Metropolitan Museum of Art,Q3776769,Metropolitan Museum of Art,5,0
Q104530765,Hugo Nathan,Q60469188,Hugo Nathan,3,1
Q74128,Alfred Flechtheim,Q19180675,Alfred Flechtheim,5,0
Q160236,Metropolitan Museum of Art,Q81096,Metropolitan Museum of Art,4,0
Q160236,Metropolitan Museum of Art,Q64214265,Metropolitan Museum of Art,5,0
Q104530765,Hugo Nathan,Q657415,Hugo Nathan,4,1
Q160236,Metropolitan Museum of Art,Q2464532,Metropolitan Museum of Art,5,0
Q26221201,Two Diggers among Trees,Q673751,Two Diggers among Trees,5,1
Q214867,National Gallery of Art,Q160236,National Gallery of Art,4,1
Q26221197,Two Peasant Women Digging in Field with Snow,Q825450,Two Peasant Women Digging in Field with Snow,1,1
Q5147536,Josef Feinhals,Q11455387,Josef Feinhals,2,0
Q867510,Cypresses,Q17254907,Cypresses,5,1
Q74128,Alfred Flechtheim,Q37226,Alfred Flechtheim,5,0
Q160236,Metropolitan Museum of Art,Q20174444,Metropolitan Museum of Art,5,0
Q55680361,Oskar Reichel,Q67311526,Oskar Reichel,5,0
Q26221201,Two Diggers among Trees,Q18745022,Two Diggers among Trees,4,1
Q160236,Metropolitan Museum of Art,Q18704645,Metropolitan Museum of Art,4,0
Q160236,Metropolitan Museum of Art,Q502763,Metropolitan Museum of Art,5,0
Q324935,Ferenc Hatvany,Q602358,Ferenc Hatvany,4,0
Q26221201,Two Diggers among Trees,Q1607826,Two Diggers among Trees,5,0
Q1634926,Hugo Cassirer,Q40457263,Hugo Cassirer,2,1
Q55680361,Oskar Reichel,Q20276008,Oskar Reichel,3,1
Q74128,Alfred Flechtheim,Q82955,Alfred Flechtheim,5,0
Q160236,Metropolitan Museum of Art,Q102413149,Metropolitan Museum of Art,5,0
Q160236,Metropolitan Museum of Art,Q158154,Metropolitan Museum of Art,4,0
Q104530765,Hugo Nathan,Q20771242,Hugo Nathan,5,1
Q26221176,Two Poplars in the Alpilles near Saint-Rémy,Q3243461,Two Poplars in the Alpilles near Saint-Rémy,4,1
Q26221176,Two Poplars in the Alpilles near Saint-Rémy,Q5582,Two Poplars in the Alpilles near Saint-Rémy,4,1
Q160236,Metropolitan Museum of Art,Q11822840,Metropolitan Museum of Art,3,0
Q55680361,Oskar Reichel,Q15924224,Oskar Reichel,1,0
Q867510,Cypresses,Q723358,Cypresses,4,1
Q160236,Metropolitan Museum of Art,Q63284758,Metropolitan Museum of Art,3,0
Q160236,Metropolitan Museum of Art,Q673751,Metropolitan Museum of Art,4,1
Q17277888,Gottlieb Friedrich Reber,Q33999,Gottlieb Friedrich Reber,5,0
Q26221201,Two Diggers among Trees,Q50807788,Two Diggers among Trees,4,0
Q29441758,Margarete Mauthner,Q18223037,Margarete Mauthner,5,1
Q160236,Metropolitan Museum of Art,Q106727050,Metropolitan Museum of Art,3,1
Q160236,Metropolitan Museum of Art,Q1297822,Metropolitan Museum of Art,2,0
Q160236,Metropolitan Museum of Art,Q96297,Metropolitan Museum of Art,5,1
Q214867,National Gallery of Art,Q602358,National Gallery of Art,3,0
Q214867,National Gallery of Art,Q15709185,National Gallery of Art,5,0
Q26221176,Two Poplars in the Alpilles near Saint-Rémy,Q602358,Two Poplars in the Alpilles near Saint-Rémy,5,0
Q160236,Metropolitan Museum of Art,Q75392841,Metropolitan Museum of Art,4,0
Q160236,Metropolitan Museum of Art,Q39074069,Metropolitan Museum of Art,5,0
Q214867,National Gallery of Art,Q28860082,National Gallery of Art,4,1
Q214867,National Gallery of Art,Q10732476,National Gallery of Art,3,1
Q160236,Metropolitan Museum of Art,Q165113,Metropolitan Museum of Art,5,0
Q867510,Cypresses,Q17277888,Cypresses,5,1
Q55680361,Oskar Reichel,Q17378135,Oskar Reichel,5,0
Q26221176,Two Poplars in the Alpilles near Saint-Rémy,Q731126,Two Poplars in the Alpilles near Saint-Rémy,3,1
Q74128,Alfred Flechtheim,Q47531053,Alfred Flechtheim,4,1
Q160236,Metropolitan Museum of Art,Q21032589,Metropolitan Museum of Art,5,0
Q74128,Alfred Flechtheim,Q68074438,Alfred Flechtheim,3,0
Q867510,Cypresses,Q43845,Cypresses,2,0
Q17277888,Gottlieb Friedrich Reber,Q3387717,Gottlieb Friedrich Reber,5,0
Q26221176,Two Poplars in the Alpilles near Saint-Rémy,Q102413149,Two Poplars in the Alpilles near Saint-Rémy,5,0
Q160236,Metropolitan Museum of Art,Q21530090,Metropolitan Museum of Art,5,1
Q1634926,Hugo Cassirer,Q100137722,Hugo Cassirer,5,1
Q160236,Metropolitan Museum of Art,Q4532138,Metropolitan Museum of Art,3,0
Q21948567,Sunflowers,Q28842706,Sunflowers,4,1
Q160236,Metropolitan Museum of Art,Q455,Metropolitan Museum of Art,4,0
Q867510,Cypresses,Q108829905,Cypresses,5,1
Q160236,Metropolitan Museum of Art,Q215626,Metropolitan Museum of Art,3,1
Q160236,Metropolitan Museum of Art,Q19912683,Metropolitan Museum of Art,3,1
Q26221201,Two Diggers among Trees,Q657415,Two Diggers among Trees,5,1
Q160236,Metropolitan Museum of Art,Q7042855,Metropolitan Museum of Art,4,0
Q1634926,Hugo Cassirer,Q20730464,Hugo Cassirer,5,0
Q324935,Ferenc Hatvany,Q20078554,Ferenc Hatvany,4,0
Q160236,Metropolitan Museum of Art,Q19913641,Metropolitan Museum of Art,3,1
Q160236,Metropolitan Museum of Art,Q96090146,Metropolitan Museum of Art,3,1
Q26221201,Two Diggers among Trees,Q83874292,Two Diggers among Trees,5,1
Q74128,Alfred Flechtheim,Q731126,Alfred Flechtheim,2,1
Q657415,Cleveland Museum of Art,Q432,Cleveland Museum of Art,4,0
Q160236,Metropolitan Museum of Art,Q3055126,Metropolitan Museum of Art,5,0
Q657415,Cleveland Museum of Art,Q5074681,Cleveland Museum of Art,5,1
Q160236,Metropolitan Museum of Art,Q10288082,Metropolitan Museum of Art,2,1
Q324935,Ferenc Hatvany,Q1979607,Ferenc Hatvany,3,0
Q160236,Metropolitan Museum of Art,Q64436,Metropolitan Museum of Art,5,0
Q160236,Metropolitan Museum of Art,Q4091875,Metropolitan Museum of Art,3,0
Q160236,Metropolitan Museum of Art,Q41450421,Metropolitan Museum of Art,5,0
Q17277888,Gottlieb Friedrich Reber,Q2544162,Gottlieb Friedrich Reber,5,1
Q1634926,Hugo Cassirer,Q27568006,Hugo Cassirer,5,1
Q160236,Metropolitan Museum of Art,Q1485141,Metropolitan Museum of Art,4,0
Q214867,National Gallery of Art,Q38695,National Gallery of Art,4,0
Q160236,Metropolitan Museum of Art,Q16741013,Metropolitan Museum of Art,5,1
Q74128,Alfred Flechtheim,Q7319,Alfred Flechtheim,5,1
Q26221201,Two Diggers among Trees,Q43845,Two Diggers among Trees,5,0
Q160236,Metropolitan Museum of Art,Q160948,Metropolitan Museum of Art,5,0
Q214867,National Gallery of Art,Q28860117,National Gallery of Art,4,0
Q160236,Metropolitan Museum of Art,Q36174,Metropolitan Museum of Art,4,0
Q26221176,Two Poplars in the Alpilles near Saint-Rémy,Q43845,Two Poplars in the Alpilles near Saint-Rémy,2,0
Q160236,Metropolitan Museum of Art,Q214917,Metropolitan Museum of Art,3,0
Q160236,Metropolitan Museum of Art,Q53563347,Metropolitan Museum of Art,5,1
Q20178788,Still Life with Apples,Q10732476,Still Life with Apples,2,1
Q26221184,Olive Picking,Q1622272,Olive Picking,3,0
Q74128,Alfred Flechtheim,Q61446519,Alfred Flechtheim,4,1
Q156426,Alexej von Jawlensky,Q28927781,Alexej von Jawlensky,2,0
Q160236,Metropolitan Museum of Art,Q134309,Metropolitan Museum of Art,5,0
Q104530765,Hugo Nathan,Q298877,Hugo Nathan,5,0
Q17277888,Gottlieb Friedrich Reber,Q20276076,Gottlieb Friedrich Reber,5,1
Q214867,National Gallery of Art,Q62537,National Gallery of Art,5,0
Q160236,Metropolitan Museum of Art,Q19912793,Metropolitan Museum of Art,3,1
Q26221201,Two Diggers among Trees,Q1384654,Two Diggers among Trees,5,0
Q1634926,Hugo Cassirer,Q18223037,Hugo Cassirer,3,1
Q160236,Metropolitan Museum of Art,Q64216457,Metropolitan Museum of Art,5,1
Q160236,Metropolitan Museum of Art,Q1925963,Metropolitan Museum of Art,3,0
Q160236,Metropolitan Museum of Art,Q510324,Metropolitan Museum of Art,4,1
Q17277888,Gottlieb Friedrich Reber,Q21078532,Gottlieb Friedrich Reber,4,1
Q867510,Cypresses,Q19502360,Cypresses,1,1
Q160236,Metropolitan Museum of Art,Q48968006,Metropolitan Museum of Art,5,0
Q74128,Alfred Flechtheim,Q36180,Alfred Flechtheim,3,0
Q17277888,Gottlieb Friedrich Reber,Q20540932,Gottlieb Friedrich Reber,1,1
Q104530765,Hugo Nathan,Q96297,Hugo Nathan,5,1
Q74128,Alfred Flechtheim,Q1573212,Alfred Flechtheim,3,0
Q17277888,Gottlieb Friedrich Reber,Q19681547,Gottlieb Friedrich Reber,3,1
Q1634926,Hugo Cassirer,Q56816048,Hugo Cassirer,5,1
Q214867,National Gallery of Art,Q19911671,National Gallery of Art,5,0
Q160236,Metropolitan Museum of Art,Q100137722,Metropolitan Museum of Art,5,1
Q74128,Alfred Flechtheim,Q60474736,Alfred Flechtheim,1,1
Q160236,Metropolitan Museum of Art,Q19912688,Metropolitan Museum of Art,3,1
Q214867,National Gallery of Art,Q333634,National Gallery of Art,5,0
Q160236,Metropolitan Museum of Art,Q327240,Metropolitan Museum of Art,5,1
Q160236,Metropolitan Museum of Art,Q50395049,Metropolitan Museum of Art,5,0
Q160236,Metropolitan Museum of Art,Q1142334,Metropolitan Museum of Art,2,0
Q160236,Metropolitan Museum of Art,Q2544162,Metropolitan Museum of Art,2,1
Q55680361,Oskar Reichel,Q806798,Oskar Reichel,5,0
Q104530765,Hugo Nathan,Q17505902,Hugo Nathan,5,0
Q104530765,Hugo Nathan,Q3159990,Hugo Nathan,5,1
Q21948567,Sunflowers,Q907660,Sunflowers,5,0
Q324935,Ferenc Hatvany,Q1028181,Ferenc Hatvany,1,0
Q26221201,Two Diggers among Trees,Q30335959,Two Diggers among Trees,4,1
Q160236,Metropolitan Museum of Art,Q98280619,Metropolitan Museum of Art,5,1
Q160236,Metropolitan Museum of Art,Q188094,Metropolitan Museum of Art,3,0
Q160236,Metropolitan Museum of Art,Q96242104,Metropolitan Museum of Art,4,0
Q1634926,Hugo Cassirer,Q657415,Hugo Cassirer,5,1
Q214867,National Gallery of Art,Q2657718,National Gallery of Art,4,0
Q74128,Alfred Flechtheim,Q193391,Alfred Flechtheim,5,0
Q21948567,Sunflowers,Q104694359,Sunflowers,5,0
Q26221176,Two Poplars in the Alpilles near Saint-Rémy,Q19989799,Two Poplars in the Alpilles near Saint-Rémy,4,1
Q17277888,Gottlieb Friedrich Reber,Q76433,Gottlieb Friedrich Reber,5,0
Q214867,National Gallery of Art,Q10800557,National Gallery of Art,5,0
